epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1748,0.53786,2.83248,0.95748,0.00333,1,0.88417,0.75818,0.45259,3.28833,0.80492,0.00028,0.00028,0.00028
2,22.7733,0.7139,1.84284,0.9656,1,0.42905,0.86622,0.61099,0.75232,3.06018,0.8534,0.000568516,0.000568516,0.000568516
3,33.0121,0.71744,1.50128,0.95592,0.92046,0.39971,0.67938,0.53426,0.64434,3.08487,0.8657,0.000845152,0.000845152,0.000845152
4,43.6953,0.72027,1.45541,1.00687,1,0.28933,0.75307,0.6298,0.59163,3.11974,0.83133,0.00110991,0.00110991,0.00110991
5,54.3637,0.67434,1.51627,0.98189,1,0.13728,0.63704,0.49159,0.77974,3.25215,0.91349,0.00136278,0.00136278,0.00136278
6,65.1685,0.67482,1.3359,0.95079,1,0.55123,0.77828,0.66697,0.70165,2.92291,0.89987,0.00160378,0.00160378,0.00160378
7,75.7444,0.6833,1.26873,0.9486,0.77307,0.75862,0.78838,0.64372,0.67335,2.52867,0.87313,0.0017624,0.0017624,0.0017624
8,86.1497,0.71381,1.29614,0.97918,0.83863,0.82759,0.86074,0.74451,0.63582,2.06113,0.87455,0.0017228,0.0017228,0.0017228
9,96.9501,0.64784,1.18612,0.93688,0.92579,0.93103,0.97183,0.82384,0.65424,1.67152,0.84795,0.0016832,0.0016832,0.0016832
10,107.741,0.67374,1.15498,0.9822,0.99376,0.93103,0.97833,0.83379,0.59229,1.52622,0.84336,0.0016436,0.0016436,0.0016436
11,119.747,0.66975,1.1302,0.95472,0.87009,0.92398,0.94689,0.80171,0.64606,1.59499,0.84819,0.001604,0.001604,0.001604
12,132.177,0.66107,1.03386,0.97267,0.99397,0.96552,0.98622,0.85329,0.58693,1.30122,0.84094,0.0015644,0.0015644,0.0015644
13,144.723,0.63817,1.02424,0.94377,0.99729,1,0.995,0.84149,0.59532,1.21765,0.83677,0.0015248,0.0015248,0.0015248
14,157.505,0.57294,0.99855,0.93182,1,0.96517,0.994,0.86032,0.5713,1.22993,0.8367,0.0014852,0.0014852,0.0014852
15,170.98,0.61158,0.96769,0.92475,0.99329,1,0.995,0.88988,0.52562,1.21012,0.81337,0.0014456,0.0014456,0.0014456
16,184.943,0.58759,0.90556,0.93231,0.98779,1,0.995,0.87993,0.56507,1.18004,0.81944,0.001406,0.001406,0.001406
17,199.53,0.63125,0.92406,0.94905,1,0.99794,0.995,0.87962,0.50904,1.00023,0.81256,0.0013664,0.0013664,0.0013664
18,213.913,0.59063,0.89611,0.92695,0.9965,0.96552,0.98054,0.84628,0.55662,1.09035,0.81669,0.0013268,0.0013268,0.0013268
19,228.681,0.59825,0.87302,0.92439,1,0.96239,0.98477,0.85427,0.55359,1.02452,0.827,0.0012872,0.0012872,0.0012872
20,244.175,0.57051,0.8167,0.93916,1,0.96405,0.96506,0.8545,0.51785,0.93777,0.80836,0.0012476,0.0012476,0.0012476
21,260.727,0.57241,0.79027,0.91951,1,0.82166,0.8253,0.72836,0.5201,0.89771,0.80784,0.001208,0.001208,0.001208
22,276.644,0.54435,0.79052,0.91862,1,0.96542,0.99219,0.88086,0.4858,0.89045,0.8006,0.0011684,0.0011684,0.0011684
23,292.794,0.57736,0.81497,0.95581,0.99839,0.93103,0.94723,0.86631,0.45677,0.86227,0.79011,0.0011288,0.0011288,0.0011288
24,308.419,0.52564,0.75042,0.91939,0.99711,0.93103,0.94723,0.85551,0.47911,0.89802,0.79582,0.0010892,0.0010892,0.0010892
25,324.054,0.49888,0.68396,0.88398,0.99805,0.96552,0.96981,0.86366,0.49921,0.85871,0.79788,0.0010496,0.0010496,0.0010496
26,339.557,0.53823,0.6796,0.92032,1,0.99748,0.995,0.93108,0.40599,0.80884,0.77655,0.00101,0.00101,0.00101
27,355.562,0.50388,0.65427,0.89023,1,0.96373,0.96506,0.87747,0.43557,0.75145,0.78239,0.0009704,0.0009704,0.0009704
28,372.596,0.46792,0.65243,0.90241,0.9987,0.7931,0.8153,0.74753,0.38912,0.72615,0.77173,0.0009308,0.0009308,0.0009308
29,390.934,0.45622,0.65027,0.88151,1,0.86107,0.89034,0.82424,0.40792,0.70883,0.77587,0.0008912,0.0008912,0.0008912
30,408.571,0.51445,0.69239,0.93596,0.94843,0.82759,0.8241,0.75918,0.40677,0.69128,0.77377,0.0008516,0.0008516,0.0008516
31,426.058,0.4575,0.62508,0.88516,0.94916,0.65517,0.65558,0.60804,0.39964,0.68065,0.77795,0.000812,0.000812,0.000812
32,444.763,0.46847,0.66335,0.89431,0.9478,0.72414,0.72364,0.65581,0.42148,0.71361,0.78141,0.0007724,0.0007724,0.0007724
33,462.945,0.47559,0.63947,0.91632,1,0.64574,0.65558,0.61086,0.39934,0.68189,0.76811,0.0007328,0.0007328,0.0007328
34,479.989,0.47822,0.61804,0.91941,1,0.79087,0.79534,0.73479,0.38626,0.63527,0.76809,0.0006932,0.0006932,0.0006932
35,497.659,0.43336,0.57892,0.87656,1,0.75533,0.75541,0.68707,0.41297,0.65849,0.7716,0.0006536,0.0006536,0.0006536
36,515.206,0.41066,0.54917,0.88551,0.99643,0.75862,0.78502,0.72554,0.3716,0.6472,0.76532,0.000614,0.000614,0.000614
37,533.494,0.39932,0.54914,0.87839,0.99681,0.65517,0.6841,0.6378,0.35783,0.61351,0.76476,0.0005744,0.0005744,0.0005744
38,550.473,0.41261,0.57411,0.88657,0.93931,0.72414,0.72364,0.67951,0.3466,0.60736,0.76265,0.0005348,0.0005348,0.0005348
39,568.62,0.41558,0.58914,0.88164,0.99858,0.93103,0.96402,0.91722,0.34774,0.59341,0.76273,0.0004952,0.0004952,0.0004952
40,585.695,0.41783,0.54906,0.87127,0.99789,0.68966,0.68553,0.65105,0.35901,0.60025,0.76121,0.0004556,0.0004556,0.0004556
41,602.904,0.31423,0.57874,0.79718,0.99714,0.68966,0.68553,0.64514,0.3323,0.58987,0.75911,0.000416,0.000416,0.000416
42,618.248,0.30442,0.58356,0.79499,1,0.82553,0.8597,0.81565,0.34924,0.64037,0.76306,0.0003764,0.0003764,0.0003764
43,636.801,0.3174,0.60232,0.80403,1,0.58429,0.61692,0.57504,0.36498,0.65954,0.76538,0.0003368,0.0003368,0.0003368
44,655.464,0.27807,0.55364,0.7984,1,0.68529,0.71906,0.67096,0.36548,0.63132,0.76386,0.0002972,0.0002972,0.0002972
45,673.303,0.28432,0.53082,0.78098,1,0.82358,0.8253,0.78135,0.3532,0.60092,0.76271,0.0002576,0.0002576,0.0002576
46,691.56,0.27386,0.52749,0.79109,1,0.61905,0.65036,0.60395,0.34899,0.58625,0.76122,0.000218,0.000218,0.000218
47,708.81,0.26677,0.52124,0.77414,1,0.75831,0.75542,0.70548,0.35061,0.58457,0.76269,0.0001784,0.0001784,0.0001784
48,726.886,0.28504,0.51492,0.78673,0.99671,0.55172,0.57998,0.53642,0.3511,0.57975,0.75989,0.0001388,0.0001388,0.0001388
49,744.674,0.28061,0.51273,0.79571,0.99939,0.75862,0.78941,0.73704,0.35264,0.57857,0.7597,9.92e-05,9.92e-05,9.92e-05
50,761.402,0.25665,0.51803,0.78917,0.99735,0.7931,0.79534,0.76123,0.3406,0.57085,0.75922,5.96e-05,5.96e-05,5.96e-05
